CNPJ_FUNDO,DENOM_SOCIAL,VL_PATRIM_LIQ
01.135.345/0001-15,ITAÚ ÍNDICE AÇÕES IBOVESPA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,70773378.76
01.147.626/0001-98,MEL CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,220762427.36
01.147.641/0001-36,FUNDO DE INVESTIMENTO RENDA FIXA MAPFRE SOBERANO,471464940.14
01.165.780/0001-92,FUNDO DE INVESTIMENTO CAIXA MASTER PERSONALIZADO 50 RENDA FIXA LONGO PRAZO,2307879792.67
01.165.781/0001-37,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EXECUTIVO RENDA FIXA LONGO PRAZO,2252561988.56
01.165.792/0001-17,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA FUNDAÇÕES RENDA FIXA CURTO PRAZO,29415099.44
01.165.796/0001-03,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA CLÁSSICO RENDA FIXA LONGO PRAZO,30956434.09
01.171.956/0001-19,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAMBIAL DÓLAR,4781503.28
01.171.957/0001-63,BRAM FUNDO DE INVESTIMENTO RENDA FIXA,3374964790.27
01.174.068/0001-50,PRIVATE IZA MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,107136499.78
01.197.545/0001-00,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA SATURNO,90478236.63
01.214.092/0001-75,BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO MULTIMERCADO,189586861.49
01.221.890/0001-24,CSHG VERDE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,689990261.17
